test	suite	result	exit_status	wall_seconds	cycles	log
rv64ui-v-lhu	isa	PASS	0	62.906		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-lhu/simulation.log
rv64ui-v-lw	isa	PASS	0	68.296		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-lw/simulation.log
rv64ui-v-lwu	isa	PASS	0	66.538		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-lwu/simulation.log
rv64ui-v-or	isa	PASS	0	69.859		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-or/simulation.log
rv64ui-v-ori	isa	PASS	0	60.456		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-ori/simulation.log
rv64ui-v-sb	isa	PASS	0	70.597		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-sb/simulation.log
rv64ui-v-sd	isa	PASS	0	91.928		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-sd/simulation.log
rv64ui-v-sh	isa	PASS	0	57.094		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-sh/simulation.log
rv64ui-v-simple	isa	PASS	0	38.584		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-simple/simulation.log
rv64ui-v-sll	isa	PASS	0	81.912		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-sll/simulation.log
rv64ui-v-slli	isa	PASS	0	42.879		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-slli/simulation.log
rv64ui-v-slliw	isa	PASS	0	44.245		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-slliw/simulation.log
rv64ui-v-ma_data	isa	WALL_TIMEOUT	0	600.22		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-ma_data/simulation.log
rv64ui-v-sllw	isa	PASS	0	71.503		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-sllw/simulation.log
rv64ui-v-slt	isa	PASS	0	42.769		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-slt/simulation.log
rv64ui-v-slti	isa	PASS	0	40.307		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-slti/simulation.log
